CIIU4,Nombre de establecimiento
Elaboración de otros productos alimenticios n.c.p.,"['BAYAS DEL SUR SA' 'PROAGAR S.A.' 'PRUNESCO S A'
 'LACTEOS TINGUIRIRICA SA' 'INVERTEC NATURAL JUICE S A'
 'JUCOSOL PLANTA CURICO' 'TRESMONTES COMPLEJO CASABLANCA'
 'ORAFTI CHILE S A' 'GIST BROCADES CHILE S.A.' 'COMPLEJO INDUSTRIAL NOS'
 'EWOS  CHILE ALIMENTOS LTDA' 'EWOS CHILE ALIMENTOS LIMITADA'
 'OCEAN SPRAY CHILE SPA' 'CHILE BOTANICS SPA']"
Elaboración de piensos preparados para animales,['PLANTA NUTRIPRO LONTUE']
Elaboración de pisco (industrias pisqueras),['PLANTA PISQUERA DE MONTE PATRIA' 'PLANTA PISQUERA DE SALAMANCA']
Elaboración de productos lácteos,"['PLANTA OSORNO' 'SOC. AGRICOLA LA ISLA LTDA.'
 'NESTLE CHILE S.A. FABRICA LLANQUIHUE' 'PROLESUR LOS LAGOS'
 'LACTEOS Y ENERGÍA S.A.' 'SURLAT INDUSTRIAL SPA'
 'INDUSTRIAS E INVERSIONES VALLE VERDE SA'
 'NESTLE CHILE S.A. FABRICA CANCURA'
 'SOCIEDAD AGRÍCOLA QUILLAYES DE PETEROA LTDA, VICTORIA' 'CHILOLAC'
 'WATTS OSORNO' 'PLANTA CRUCE LOS TAMBORES' 'LACTEOS DEL SUR SA MULPULMO'
 'LACTEOS OSORNO LTDA' 'PLANTA RILES LACTEOS SAN IGNACIO RUTA 5 SUR'
 'LÁCTEOS PELALES LIMITADA' 'AGRICOLA LA HIJUELA LTDA']"
Elaboración de vinos,"['S.A.VIÑA SANTA RITA' 'VINOS SANTA EMA S.A.' 'PLANTA LONTUE'
 'FUNDO Y PLANTA CLOS APALTA' 'BODEGA CACHAPOAL' 'BODEGA SAN JAVIER'
 'SOCIEDAD AGRICOLA REQUINGUA LIMITADA' 'PLANTA RANCAGUA'
 'EMPRESAS LOURDES S.A.' 'SANTA TERESA S A' 'VINOS SANTA EMA SA'
 'PLANTA Y BODEGA DE PRODUCCIÓN LONTUE' 'VINA SAN PEDRO TARAPACA S.A.'
 'MONTES S.A. PLANTA CHIMBARONGO' 'PLANTA Y BODEGA DE PRODUCCIÓN PALMILLA'
 'LAS PIRCAS' 'LAS MERCEDES' 'VIÑA MORANDÉ S.A.' 'BODEGA LOURDES'
 'VIÑA CONCHA Y TORO S A PLANTA PIRQUE' 'PLANTA CUNACO' 'VINICOLA PATACON'
 'VINA LOS NOGALES SA' 'VIÑA ECHEVERRIA LTDA.']"
Elaboración y conservación de carne y productos cárnicos,"['PLANTA FAENADORA' 'FAENADORA ROSARIO LTDA.' 'FABRICA' 'FAENAGRO'
 'FRIVAL']"
"Elaboración y conservación de crustáceos, moluscos, invertebrados acuáticos y otros productos acuáticos, en plantas situadas en tierra (excepto barcos factoría)","['RIA AUSTRAL' 'ISLA DEL REY' 'INMOBILIARIA NUÑEZ'
 'PLANTA PARGUA CHILESEAFOODS' 'BLUE SHELL S.A.' 'SALMOPROCESOS S.A.'
 'SOCIEDAD PESQUERA SILGAR LIMITADA.' 'TORALLA S.A.'
 'INMUEBLES CATALUÑA LTDA.' 'PESQUERA TUBUL SA' 'PLANTA CORONEL' 'RAUCO']"
"Elaboración y conservación de frutas, legumbres y hortalizas","['ROCOFRUT  S.A.' 'AGROINDUSTRIA CEPIA SA' 'PLANTA AGROZZI TENO'
 'PATAGONIAFRESH PLANTA MOLINA' 'PLANTA CENFRUT' 'PLANTA CENKIWI'
 'PLANTA LINARES' 'CENTRAL FRUTÍCOLA MANUEL RODRIGUEZ' 'LA TILTILANA'
 'AGRICOLA Y FRUTERA CURACAVI SERVICIO DE PACKING Y FRIGORIFICO CURACAVI'
 'ALIMENTOS Y FRUTOS SA PLANTA SAN FERNANDO' 'INTERAGRO SA'
 'PATAGONIAFRESH PLANTA SAN FERNANDO' 'FRUTAL LTDA.'
 'PROCESOS NATURALES VILKUN SA' 'SUGAL CHILE PLANTA TALCA'
 'ALIMENTOS Y FRUTOS SA QUILICURA' 'DON CHERRY' 'ACONCAGUA FOODS S.A'
 'CENTRAL FRUTICOLA RETIRO' 'CEFRUPAL S.A.' 'SUGAL CHILE PLANTA TILCOCO'
 'FRUTIZANO SA' 'COMERCIAL GREENVIC SA' 'SAN CLEMENTE FOODS SA'
 'SANTIAGO AGRISUPPLY SPA' 'FRUTICOLA OLMUE SPA'
 'AGRICOLA E INMOBILIARIA VICHICULEN SA']"
"Elaboración y conservación de otros pescados, en plantas situadas en tierra (excepto barcos factoría)",['OPERACIONES COSTERAS' 'SOCIEDAD PROA DALCAHUE']
Elaboración y conservación de salmónidos,"['PLANTA PROCESO ANTARFOOD' 'MARINE HARVEST CHILE S A'
 'PESQUERA TAMAI LTDA' 'PLANTA CHINQUIHUE' 'PLANTA FITZ ROY'
 'PLANTA ANCUD' 'PLANTA DALCAHUE' 'PLANTA DE PROCESO' 'PLANTA QUEMCHI'
 'SALMONES ANTÁRTICA S.A.' 'Planta Procesadora Mar del Sur (12054)'
 'PLANTA EL TEPUAL' 'PLANTA  CHINCUI' 'PLANTA PROCESO LLAULLAO']"
Elaboración y procesamiento de algas,['MARINE GEL ANTARTIC S.A.']
Enseñanza superior en universidades privadas,['UNIVERSIDAD CATOLICA CAMPUS NORTE' 'UCN SEDE COQUIMBO']
Enseñanza superior en universidades públicas,['CENTRO METRI' 'CENTRO INVESTIGACIÓN ENSENADA BAJA' 'CAMPUS ISLA TEJA']
Evacuación de aguas residuales,"['ILUSTRE MUNICIPALIDAD DE OLMUÉ' 'BASE AÉREA CERRO MORENO'
 'PLANTA DE TRATAMIENTO AGUAS SERVIDAS LLICO'
 'Planta Tratamiento Santa Fé' 'TRATACAL SA'
 'PRETRATAMIENTO Y DISPOSICIÓN FINAL DE AGUAS SERVIDASI'
 'PLANTA DE TRATAMIENTO DE AGUA SERVIDA SANTA ELENA']"
Explotación de mataderos,"['AGROIND.LOMAS COLORADAS' 'AGROINDUSTRIAL EL PAICO'
 'AGRICOLA DON POLLO LTDA.' 'MATADERO FRIGORIFICO DEL SUR S.A.'
 'MATADERO INDUCAR' 'FAENADORA LO MIRANDA'
 'SOCIEDAD FAENADORA FRIGOSUR LTDA']"
Extracción de carbón de piedra,['TERMINAL PORTUARIO OTWAY']
Extracción de gas natural,['POSESIÓN']
Extracción de madera,['FORESTAL RIO CALLE CALLE S.A.']
Extracción de minerales de hierro,['PLANTA DE PELLETS' 'Sociedad Minera Pacifico del Sur SPA']
Extracción de oro y plata,['COMPAÑIA MINERA NEVADA SPA']
"Extracción de piedra, arena y arcilla",['EMPRESTITO SENDA SUR LA VARA' 'BUTALCURA RURAL S/N' 'ARIDOS PETROMIN']
